Mayotte,36,12,,,,36,,132,,
Rwanda,36,,,,,36,,3,,
Guam,32,3,1,,,31,,190,6,
Honduras,30,,,,,30,,3,,
Bolivia,29,2,,,,29,,2,,
Macao,28,3,,,10,18,,43,,
Paraguay,27,5,2,1,,25,1,4,03,
Kenya,25,9,,,,25,,05,,
Monaco,23,,,,1,22,,586,,
FrenchGuiana,23,3,,,6,17,,77,,
FrenchPolynesia,23,5,,,,23,,82,,
IsleofMan,23,10,,,,23,,270,,
Guatemala,21,1,1,,,20,,1,006,
Jamaica,21,2,1,,2,18,,7,03,
Guyana,20,,1,,,19,,25,1,
Togo,20,2,,,1,19,,2,,
Barbados,17,,,,,17,,59,,
Madagascar,17,5,,,,17,,06,,
USVirginIslands,17,,,,,17,,163,,
Gibraltar,15,,,,5,10,,445,,
Maldives,13,,,,5,8,,24,,
Aruba,12,3,,,1,11,,112,,
Ethiopia,12,1,,,,12,,01,,
Tanzania,12,,,,,12,,02,,
Mongolia,10,,,,,10,,3,,
NewCaledonia,10,2,,,,10,,35,,
EquatorialGuinea,9,,,,,9,,6,,
Uganda,9,,,,,9,,02,,
SaintMartin,8,,,,,8,,207,,
Seychelles,7,,,,,7,,71,,
CaymanIslands,6,1,1,,,5,,91,15,
Gabon,6,,1,,,5,,3,04,
Benin,6,,,,,6,,05,,
Bermuda,6,,,,,6,,96,,
Haiti,6,,,,,6,,05,,
Namibia,6,2,,,2,4,,2,,
Suriname,6,1,,,,6,,10,,
ElSalvador,5,2,,,,5,,08,,
Greenland,5,1,,,2,3,,88,,
Curaçao,4,,1,,,3,,24,6,
Bahamas,4,,,,,4,,10,,
Congo,4,,,,,4,,07,,
Fiji,4,1,,,,4,,4,,
Guinea,4,,,,,4,,03,,
VaticanCity,4,3,,,,4,,4994,,
Eswatini,4,,,,,4,,3,,
CaboVerde,3,,1,1,,2,,5,2,
Gambia,3,1,1,,,2,,1,04,
Sudan,3,1,1,,,2,,007,002,
Zimbabwe,3,,1,,,2,,02,007,
Angola,3,,,,,3,,009,,
AntiguaandBarbuda,3,,,,,3,,31,,
CAR,3,,,,,3,,06,,
Chad,3,1,,,,3,,02,,
Djibouti,3,,,,,3,,3,,
Liberia,3,,,,,3,,06,,
Mozambique,3,2,,,,3,,010,,
Niger,3,,,,,3,,01,,
StBarth,3,,,,,3,,304,,
SaintLucia,3,,,,,3,,16,,
Zambia,3,,,,,3,,02,,
Nepal,2,,,,1,1,,007,,
Bhutan,2,,,,,2,,3,,
Dominica,2,,,,,2,,28,,
Laos,2,2,,,,2,,03,,
Mauritania,2,,,,,2,,04,,
Myanmar,2,,,,,2,,004,,
Nicaragua,2,,,,,2,,03,,
SintMaarten,2,,,,,2,,47,,
Belize,1,,,,,1,,3,,
Eritrea,1,,,,,1,,03,,
Grenada,1,,,,,1,,9,,
Montserrat,1,,,,,1,,200,,
PapuaNewGuinea,1,,,,,1,,01,,
StVincentGrenadines,1,,,,,1,,9,,
Somalia,1,,,,,1,,006,,
Syria,1,,,,,1,,006,,
Timor-Leste,1,,,,,1,,08,,
TurksandCaicos,1,,,,,1,,26,,
Total:,415063,36281,18559,2052,108293,288211,12988,532,24,
